Datetime,hour,day_of_week,month,NO2(GT),NOx(GT),C6H6(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AQI_next_hour
2004-03-12 05:00:00,5.0,4.0,3.0,44.0,30.0,1.0,847.0,501.0,1895.0,1155.0,394.0,6.3,65.0,0.6233,627.725
2004-03-12 06:00:00,6.0,4.0,3.0,71.0,56.0,1.8,927.0,571.0,1685.0,1223.0,487.0,6.8,62.9,0.6234,691.8
2004-03-12 07:00:00,7.0,4.0,3.0,104.0,109.0,4.4,1091.0,730.0,1387.0,1361.0,748.0,6.4,65.1,0.6316,935.7375
2004-03-12 08:00:00,8.0,4.0,3.0,141.0,307.0,17.9,1587.0,1236.0,897.0,1900.0,1400.0,7.3,63.1,0.6499,952.7625
2004-03-12 09:00:00,9.0,4.0,3.0,109.0,180.0,22.1,1545.0,1353.0,767.0,2058.0,1588.0,9.2,56.2,0.6561,831.5
2004-03-12 10:00:00,10.0,4.0,3.0,122.0,187.0,14.0,1350.0,1118.0,912.0,1712.0,1237.0,13.2,41.7,0.632,800.575
2004-03-12 11:00:00,11.0,4.0,3.0,143.0,216.0,11.6,1263.0,1037.0,969.0,1598.0,1167.0,14.3,38.4,0.6243,748.65
2004-03-12 12:00:00,12.0,4.0,3.0,113.0,143.0,10.2,1206.0,986.0,1035.0,1537.0,959.0,15.0,36.5,0.6195,767.375
2004-03-12 13:00:00,13.0,4.0,3.0,116.0,160.0,11.0,1252.0,1016.0,1008.0,1593.0,983.0,16.1,34.5,0.6262,791.725
2004-03-12 14:00:00,14.0,4.0,3.0,123.0,163.0,12.8,1287.0,1078.0,949.0,1660.0,1061.0,16.3,35.7,0.656,825.775
2004-03-12 15:00:00,15.0,4.0,3.0,126.0,190.0,14.2,1353.0,1122.0,922.0,1740.0,1139.0,15.8,37.0,0.661,801.9625
2004-03-12 16:00:00,16.0,4.0,3.0,120.0,178.0,12.7,1309.0,1073.0,954.0,1657.0,1112.0,15.9,37.2,0.6657,775.7125
2004-03-12 17:00:00,17.0,4.0,3.0,119.0,150.0,11.7,1274.0,1041.0,1006.0,1610.0,994.0,16.9,34.3,0.6549,911.6625
2004-03-12 18:00:00,18.0,4.0,3.0,149.0,206.0,19.3,1510.0,1277.0,812.0,1910.0,1410.0,15.1,39.6,0.6766,906.525
2004-03-12 19:00:00,19.0,4.0,3.0,145.0,202.0,18.2,1525.0,1246.0,821.0,1847.0,1448.0,14.4,43.4,0.7084,1112.075
2004-03-12 20:00:00,20.0,4.0,3.0,170.0,340.0,32.6,1843.0,1610.0,624.0,2390.0,1887.0,12.9,50.5,0.7478,957.5125
2004-03-12 21:00:00,21.0,4.0,3.0,149.0,274.0,20.1,1598.0,1299.0,752.0,1941.0,1627.0,12.1,53.3,0.7536,883.7875
2004-03-12 22:00:00,22.0,4.0,3.0,139.0,253.0,14.3,1484.0,1127.0,839.0,1723.0,1491.0,11.0,59.1,0.774,992.35
2004-03-12 23:00:00,23.0,4.0,3.0,134.0,300.0,21.8,1677.0,1346.0,741.0,2062.0,1657.0,9.7,64.6,0.7771,793.95
2004-03-13 00:00:00,0.0,5.0,3.0,113.0,193.0,9.6,1280.0,964.0,963.0,1544.0,1285.0,9.5,64.1,0.7597,748.8
2004-03-13 01:00:00,1.0,5.0,3.0,97.0,139.0,7.4,1196.0,873.0,1071.0,1463.0,1144.0,9.1,63.9,0.7423,715.05
2004-03-13 02:00:00,2.0,5.0,3.0,82.0,83.0,5.4,1184.0,782.0,1176.0,1365.0,1043.0,8.8,63.9,0.7256,725.55
2004-03-13 03:00:00,3.0,5.0,3.0,109.0,180.0,5.4,1172.0,783.0,1179.0,1380.0,996.0,7.8,67.5,0.7173,712.775
2004-03-13 04:00:00,4.0,5.0,3.0,83.0,109.0,6.2,1147.0,821.0,1132.0,1412.0,992.0,7.0,71.1,0.7158,655.7
2004-03-13 05:00:00,5.0,5.0,3.0,65.0,62.0,2.6,978.0,625.0,1420.0,1274.0,819.0,8.3,63.6,0.6982,671.3625
2004-03-13 06:00:00,6.0,5.0,3.0,60.0,53.0,2.9,1100.0,646.0,1406.0,1268.0,835.0,7.2,67.5,0.6887,710.0125
2004-03-13 07:00:00,7.0,5.0,3.0,77.0,139.0,5.1,1112.0,770.0,1228.0,1409.0,940.0,6.3,71.9,0.6932,818.475
2004-03-13 08:00:00,8.0,5.0,3.0,96.0,256.0,11.8,1336.0,1043.0,935.0,1678.0,1192.0,6.5,71.6,0.6945,876.0125
2004-03-13 09:00:00,9.0,5.0,3.0,119.0,295.0,15.1,1408.0,1153.0,830.0,1777.0,1411.0,9.6,59.7,0.7124,864.7375
2004-03-13 10:00:00,10.0,5.0,3.0,126.0,250.0,12.9,1447.0,1081.0,869.0,1667.0,1465.0,12.4,51.2,0.7335,920.8875
2004-03-13 11:00:00,11.0,5.0,3.0,158.0,296.0,16.1,1542.0,1184.0,808.0,1780.0,1583.0,15.6,42.2,0.7451,865.375
2004-03-13 12:00:00,12.0,5.0,3.0,161.0,239.0,14.0,1451.0,1117.0,875.0,1679.0,1387.0,18.4,33.8,0.709,795.5375
2004-03-13 13:00:00,13.0,5.0,3.0,124.0,153.0,12.3,1328.0,1059.0,987.0,1600.0,1101.0,19.4,31.3,0.695,723.2
2004-03-13 14:00:00,14.0,5.0,3.0,102.0,118.0,8.6,1207.0,924.0,1088.0,1488.0,850.0,18.0,34.8,0.7127,744.9
2004-03-13 15:00:00,15.0,5.0,3.0,116.0,119.0,9.2,1240.0,947.0,1049.0,1532.0,947.0,18.4,33.6,0.7042,775.15
2004-03-13 16:00:00,16.0,5.0,3.0,124.0,138.0,10.2,1306.0,987.0,1004.0,1554.0,1078.0,17.6,35.1,0.7012,783.95
2004-03-13 17:00:00,17.0,5.0,3.0,125.0,148.0,10.6,1326.0,1000.0,976.0,1602.0,1084.0,16.7,37.8,0.7117,878.9375
2004-03-13 18:00:00,18.0,5.0,3.0,148.0,227.0,15.5,1473.0,1163.0,831.0,1779.0,1395.0,16.1,41.0,0.7451,956.075
2004-03-13 19:00:00,19.0,5.0,3.0,165.0,277.0,19.6,1609.0,1286.0,758.0,1922.0,1612.0,15.8,42.4,0.7569,963.775
2004-03-13 20:00:00,20.0,5.0,3.0,161.0,279.0,19.2,1611.0,1274.0,754.0,1915.0,1697.0,15.7,44.1,0.7786,979.5375
2004-03-13 21:00:00,21.0,5.0,3.0,159.0,283.0,18.3,1621.0,1247.0,762.0,1860.0,1886.0,15.3,46.8,0.8091,889.8875
2004-03-13 22:00:00,22.0,5.0,3.0,143.0,214.0,13.1,1444.0,1089.0,844.0,1748.0,1624.0,14.6,48.6,0.806,846.4875
2004-03-13 23:00:00,23.0,5.0,3.0,130.0,172.0,10.9,1418.0,1010.0,892.0,1603.0,1536.0,14.7,49.3,0.8193,864.0
2004-03-14 00:00:00,0.0,6.0,3.0,129.0,190.0,11.0,1534.0,1013.0,889.0,1611.0,1535.0,13.9,53.6,0.8498,858.4875
2004-03-14 01:00:00,1.0,6.0,3.0,119.0,174.0,11.9,1484.0,1045.0,880.0,1624.0,1530.0,14.6,51.5,0.8536,795.7
2004-03-14 02:00:00,2.0,6.0,3.0,104.0,128.0,8.6,1367.0,925.0,953.0,1543.0,1337.0,12.5,58.9,0.8537,803.7125
2004-03-14 03:00:00,3.0,6.0,3.0,109.0,180.0,9.7,1344.0,968.0,921.0,1620.0,1278.0,11.6,63.4,0.8674,711.65
2004-03-14 04:00:00,4.0,6.0,3.0,82.0,70.0,5.2,1130.0,773.0,1130.0,1452.0,1051.0,12.1,61.1,0.8603,682.2125
2004-03-14 05:00:00,5.0,6.0,3.0,70.0,53.0,3.7,1062.0,691.0,1272.0,1377.0,929.0,11.5,63.1,0.8533,675.4375
2004-03-14 06:00:00,6.0,6.0,3.0,63.0,44.0,2.5,1076.0,618.0,1395.0,1333.0,872.0,11.6,62.2,0.8473,670.425
2004-03-14 07:00:00,7.0,6.0,3.0,67.0,74.0,2.4,1028.0,615.0,1384.0,1340.0,853.0,10.4,67.6,0.853,708.025
2004-03-14 08:00:00,8.0,6.0,3.0,84.0,101.0,4.2,1155.0,722.0,1225.0,1414.0,959.0,11.6,62.7,0.853,743.175
2004-03-14 09:00:00,9.0,6.0,3.0,83.0,118.0,6.4,1235.0,828.0,1055.0,1527.0,1093.0,12.4,60.0,0.8627,787.075
2004-03-14 10:00:00,10.0,6.0,3.0,98.0,144.0,8.6,1332.0,923.0,952.0,1614.0,1225.0,14.5,53.1,0.8728,835.4875
2004-03-14 11:00:00,11.0,6.0,3.0,114.0,176.0,10.9,1445.0,1009.0,878.0,1696.0,1355.0,16.9,46.1,0.8789,819.3375
2004-03-14 12:00:00,12.0,6.0,3.0,119.0,161.0,10.7,1416.0,1002.0,907.0,1677.0,1262.0,19.3,38.3,0.8474,746.8125
2004-03-14 13:00:00,13.0,6.0,3.0,104.0,113.0,7.5,1281.0,880.0,1084.0,1525.0,980.0,21.2,31.4,0.7812,720.5625
2004-03-14 14:00:00,14.0,6.0,3.0,102.0,103.0,7.5,1207.0,879.0,1104.0,1490.0,872.0,21.4,30.2,0.7616,735.4
2004-03-14 15:00:00,15.0,6.0,3.0,107.0,112.0,8.2,1258.0,906.0,1081.0,1511.0,900.0,21.9,29.0,0.7525,816.6125
2004-03-14 16:00:00,16.0,6.0,3.0,129.0,170.0,11.9,1458.0,1045.0,974.0,1646.0,1099.0,22.2,28.4,0.7516,828.25
2004-03-14 17:00:00,17.0,6.0,3.0,128.0,180.0,12.0,1438.0,1051.0,943.0,1668.0,1206.0,21.3,30.8,0.7696,836.025
2004-03-14 18:00:00,18.0,6.0,3.0,121.0,160.0,12.2,1478.0,1055.0,929.0,1671.0,1262.0,19.7,36.7,0.8307,1000.325
2004-03-14 19:00:00,19.0,6.0,3.0,157.0,261.0,20.6,1808.0,1312.0,753.0,1993.0,1698.0,18.4,41.7,0.8732,1061.1375
2004-03-14 20:00:00,20.0,6.0,3.0,173.0,325.0,23.1,1898.0,1381.0,681.0,2103.0,1905.0,17.6,46.1,0.921,915.9625
2004-03-14 21:00:00,21.0,6.0,3.0,146.0,217.0,14.7,1560.0,1140.0,784.0,1818.0,1648.0,16.7,49.6,0.932,809.25
2004-03-14 22:00:00,22.0,6.0,3.0,121.0,146.0,9.0,1324.0,940.0,924.0,1587.0,1423.0,16.3,51.0,0.9341,807.6
2004-03-14 23:00:00,23.0,6.0,3.0,119.0,152.0,8.8,1349.0,933.0,933.0,1617.0,1349.0,14.7,55.9,0.9314,762.925
2004-03-15 00:00:00,0.0,0.0,3.0,99.0,104.0,7.4,1239.0,872.0,985.0,1547.0,1250.0,14.8,54.7,0.9164,753.1125
2004-03-15 01:00:00,1.0,0.0,3.0,93.0,106.0,6.9,1239.0,853.0,1010.0,1543.0,1174.0,14.0,57.0,0.9094,749.375
2004-03-15 02:00:00,2.0,0.0,3.0,88.0,108.0,7.0,1224.0,855.0,998.0,1566.0,1149.0,13.4,61.3,0.9361,717.675
2004-03-15 03:00:00,3.0,0.0,3.0,109.0,180.0,4.4,1078.0,734.0,1128.0,1487.0,1021.0,12.6,63.5,0.923,695.125
2004-03-15 04:00:00,4.0,0.0,3.0,71.0,66.0,4.0,1078.0,711.0,1150.0,1468.0,1013.0,12.3,65.4,0.9351,696.7375
2004-03-15 05:00:00,5.0,0.0,3.0,74.0,88.0,3.9,1075.0,703.0,1156.0,1464.0,1010.0,11.9,67.4,0.9375,738.55
2004-03-15 06:00:00,6.0,0.0,3.0,80.0,138.0,6.4,1157.0,830.0,1030.0,1584.0,1083.0,11.4,70.5,0.9475,806.0875
2004-03-15 07:00:00,7.0,0.0,3.0,89.0,228.0,9.7,1314.0,966.0,897.0,1710.0,1235.0,11.3,70.2,0.9401,1050.3625
2004-03-15 08:00:00,8.0,0.0,3.0,114.0,360.0,25.9,1797.0,1451.0,652.0,2323.0,1680.0,12.4,63.9,0.917,1213.9625
2004-03-15 09:00:00,9.0,0.0,3.0,149.0,478.0,36.7,1961.0,1701.0,537.0,2665.0,2184.0,14.8,54.3,0.9076,1084.45
2004-03-15 10:00:00,10.0,0.0,3.0,157.0,394.0,26.6,1771.0,1470.0,622.0,2262.0,1973.0,17.4,45.6,0.8993,986.8875
2004-03-15 11:00:00,11.0,0.0,3.0,155.0,319.0,20.1,1564.0,1300.0,710.0,2029.0,1798.0,19.8,38.5,0.8801,879.3875
2004-03-15 12:00:00,12.0,0.0,3.0,134.0,201.0,14.1,1430.0,1120.0,831.0,1783.0,1522.0,22.0,34.1,0.8904,866.6125
2004-03-15 13:00:00,13.0,0.0,3.0,119.0,171.0,14.9,1417.0,1146.0,830.0,1831.0,1404.0,23.3,32.2,0.9096,847.175
2004-03-15 14:00:00,14.0,0.0,3.0,111.0,159.0,15.4,1400.0,1162.0,838.0,1829.0,1263.0,23.9,30.0,0.8757,801.1375
2004-03-15 15:00:00,15.0,0.0,3.0,104.0,153.0,12.1,1317.0,1053.0,926.0,1707.0,1137.0,24.4,28.9,0.8736,787.1875
2004-03-15 16:00:00,16.0,0.0,3.0,99.0,143.0,11.5,1318.0,1033.0,950.0,1675.0,1068.0,24.4,29.4,0.8848,849.975
2004-03-15 17:00:00,17.0,0.0,3.0,110.0,156.0,14.8,1445.0,1141.0,857.0,1824.0,1252.0,23.8,31.3,0.9137,1118.3875
2004-03-15 18:00:00,18.0,0.0,3.0,162.0,314.0,32.1,1917.0,1601.0,631.0,2447.0,1843.0,22.5,35.4,0.9547,1220.9
2004-03-15 19:00:00,19.0,0.0,3.0,187.0,404.0,39.2,2040.0,1754.0,542.0,2679.0,2122.0,20.4,42.5,1.0086,1123.0
2004-03-15 20:00:00,20.0,0.0,3.0,165.0,320.0,31.0,1895.0,1573.0,565.0,2443.0,1992.0,18.3,52.6,1.0945,969.1125
2004-03-15 21:00:00,21.0,0.0,3.0,145.0,256.0,19.9,1595.0,1294.0,678.0,2058.0,1707.0,16.7,57.4,1.0786,880.6625
2004-03-15 22:00:00,22.0,0.0,3.0,125.0,193.0,15.3,1439.0,1159.0,764.0,1856.0,1494.0,15.7,60.2,1.0654,738.7375
2004-03-15 23:00:00,23.0,0.0,3.0,101.0,89.0,6.9,1142.0,852.0,1008.0,1547.0,1164.0,15.3,61.4,1.058,802.3875
2004-03-16 00:00:00,0.0,1.0,3.0,103.0,127.0,11.1,1304.0,1019.0,852.0,1731.0,1272.0,14.1,65.7,1.0494,706.425
2004-03-16 01:00:00,1.0,1.0,3.0,88.0,79.0,5.4,1074.0,784.0,1098.0,1483.0,1040.0,14.8,60.6,1.0148,660.975
2004-03-16 02:00:00,2.0,1.0,3.0,61.0,43.0,2.8,968.0,640.0,1320.0,1386.0,867.0,14.8,59.2,0.9879,674.2875
2004-03-16 03:00:00,3.0,1.0,3.0,109.0,180.0,2.3,929.0,608.0,1376.0,1364.0,826.0,13.6,62.1,0.9636,652.075
2004-03-16 04:00:00,4.0,1.0,3.0,59.0,59.0,2.6,941.0,626.0,1316.0,1373.0,840.0,12.3,66.2,0.945,645.875
2004-03-16 05:00:00,5.0,1.0,3.0,52.0,38.0,2.0,937.0,585.0,1412.0,1348.0,793.0,12.8,63.2,0.9283,672.6875
2004-03-16 06:00:00,6.0,1.0,3.0,64.0,82.0,3.5,1017.0,681.0,1246.0,1418.0,870.0,11.2,68.5,0.9081,709.2625
2004-03-16 07:00:00,7.0,1.0,3.0,70.0,99.0,5.1,1171.0,770.0,1162.0,1467.0,930.0,11.0,66.5,0.8705,896.025
2004-03-16 08:00:00,8.0,1.0,3.0,97.0,263.0,16.2,1541.0,1185.0,770.0,1889.0,1407.0,11.7,63.7,0.8719,928.7125
2004-03-16 09:00:00,9.0,1.0,3.0,95.0,229.0,19.7,1539.0,1287.0,698.0,2055.0,1507.0,13.6,56.3,0.8743,1052.3875
2004-03-16 10:00:00,10.0,1.0,3.0,150.0,396.0,25.1,1735.0,1431.0,628.0,2211.0,1843.0,17.8,42.9,0.8672,974.5
2004-03-16 11:00:00,11.0,1.0,3.0,162.0,314.0,20.0,1571.0,1297.0,730.0,1973.0,1729.0,21.4,33.3,0.8417,914.7875
2004-03-16 12:00:00,12.0,1.0,3.0,154.0,217.0,18.3,1452.0,1250.0,776.0,1868.0,1583.0,24.4,27.4,0.8231,970.7875
2004-03-16 13:00:00,13.0,1.0,3.0,161.0,252.0,22.3,1579.0,1359.0,724.0,1998.0,1671.0,25.3,26.1,0.8264,922.55
2004-03-16 14:00:00,14.0,1.0,3.0,161.0,263.0,20.4,1466.0,1309.0,773.0,1897.0,1491.0,25.8,23.2,0.7589,818.325
2004-03-16 15:00:00,15.0,1.0,3.0,128.0,180.0,14.6,1280.0,1136.0,893.0,1675.0,1240.0,27.0,20.2,0.7094,863.825
2004-03-16 16:00:00,16.0,1.0,3.0,129.0,184.0,16.6,1407.0,1197.0,905.0,1759.0,1313.0,28.2,18.6,0.7014,862.6
2004-03-16 17:00:00,17.0,1.0,3.0,133.0,190.0,15.8,1389.0,1173.0,898.0,1739.0,1363.0,28.0,19.1,0.7098,869.475
2004-03-16 18:00:00,18.0,1.0,3.0,139.0,184.0,17.8,1447.0,1235.0,859.0,1778.0,1296.0,23.9,25.7,0.7519,908.2625
2004-03-16 19:00:00,19.0,1.0,3.0,137.0,181.0,19.1,1551.0,1271.0,800.0,1875.0,1432.0,21.3,34.8,0.873,879.225
2004-03-16 20:00:00,20.0,1.0,3.0,143.0,166.0,15.8,1474.0,1173.0,854.0,1776.0,1432.0,20.4,36.7,0.8704,1073.1125
2004-03-16 21:00:00,21.0,1.0,3.0,177.0,317.0,24.9,1800.0,1426.0,700.0,2106.0,2034.0,19.0,41.3,0.9007,868.1875
2004-03-16 22:00:00,22.0,1.0,3.0,138.0,184.0,13.5,1379.0,1101.0,818.0,1710.0,1602.0,17.9,45.9,0.9342,782.1375
2004-03-16 23:00:00,23.0,1.0,3.0,117.0,130.0,9.1,1201.0,943.0,935.0,1560.0,1362.0,16.7,48.9,0.9226,770.075
2004-03-17 00:00:00,0.0,2.0,3.0,107.0,132.0,8.6,1205.0,925.0,922.0,1547.0,1314.0,15.5,52.9,0.9271,708.55
2004-03-17 01:00:00,1.0,2.0,3.0,90.0,95.0,5.4,1072.0,784.0,1066.0,1442.0,1114.0,15.5,51.9,0.9059,676.1375
2004-03-17 02:00:00,2.0,2.0,3.0,79.0,70.0,4.1,998.0,714.0,1169.0,1383.0,992.0,14.1,55.6,0.891,669.7
2004-03-17 03:00:00,3.0,2.0,3.0,109.0,180.0,2.6,933.0,625.0,1292.0,1332.0,884.0,13.1,57.9,0.8666,635.3625
2004-03-17 04:00:00,4.0,2.0,3.0,60.0,54.0,1.9,883.0,577.0,1396.0,1303.0,808.0,12.7,57.9,0.8447,610.95
2004-03-17 05:00:00,5.0,2.0,3.0,40.0,28.0,1.6,869.0,554.0,1460.0,1268.0,667.0,11.8,58.0,0.8026,625.8625
2004-03-17 06:00:00,6.0,2.0,3.0,53.0,46.0,1.9,891.0,576.0,1417.0,1289.0,733.0,11.9,57.4,0.7978,743.5625
2004-03-17 07:00:00,7.0,2.0,3.0,84.0,160.0,7.5,1173.0,878.0,1038.0,1556.0,1052.0,9.9,65.2,0.7956,950.675
2004-03-17 08:00:00,8.0,2.0,3.0,108.0,320.0,21.4,1587.0,1334.0,702.0,1999.0,1534.0,11.1,60.2,0.7958,1138.425
2004-03-17 09:00:00,9.0,2.0,3.0,127.0,377.0,36.4,1852.0,1696.0,553.0,2535.0,1931.0,14.1,50.0,0.802,968.9125
2004-03-17 10:00:00,10.0,2.0,3.0,134.0,280.0,21.3,1522.0,1331.0,703.0,2026.0,1734.0,17.7,40.1,0.8048,895.8
2004-03-17 11:00:00,11.0,2.0,3.0,135.0,221.0,15.4,1438.0,1161.0,819.0,1782.0,1595.0,21.1,33.4,0.8265,859.1875
2004-03-17 12:00:00,12.0,2.0,3.0,142.0,210.0,12.5,1393.0,1067.0,905.0,1654.0,1490.0,24.3,28.3,0.8471,886.5125
2004-03-17 13:00:00,13.0,2.0,3.0,153.0,204.0,15.1,1452.0,1152.0,861.0,1747.0,1508.0,25.6,25.6,0.8254,840.9625
2004-03-17 14:00:00,14.0,2.0,3.0,123.0,161.0,13.7,1389.0,1108.0,887.0,1712.0,1334.0,25.9,25.9,0.8503,753.55
2004-03-17 15:00:00,15.0,2.0,3.0,104.0,135.0,10.4,1207.0,994.0,1013.0,1520.0,1045.0,26.8,18.7,0.65,836.15
2004-03-17 16:00:00,16.0,2.0,3.0,129.0,186.0,15.2,1365.0,1154.0,940.0,1679.0,1221.0,29.3,15.8,0.6309,775.7875
2004-03-17 17:00:00,17.0,2.0,3.0,114.0,147.0,12.3,1247.0,1060.0,1032.0,1525.0,1069.0,28.5,14.9,0.5708,982.75
2004-03-17 18:00:00,18.0,2.0,3.0,158.0,299.0,27.0,1557.0,1478.0,793.0,1981.0,1569.0,25.9,16.0,0.5237,1211.3
2004-03-17 19:00:00,19.0,2.0,3.0,194.0,411.0,38.4,1973.0,1737.0,617.0,2414.0,2306.0,23.1,26.5,0.7403,1197.2625
2004-03-17 20:00:00,20.0,2.0,3.0,182.0,347.0,35.1,1975.0,1667.0,597.0,2416.0,2359.0,20.5,38.2,0.9133,1087.525
2004-03-17 21:00:00,21.0,2.0,3.0,180.0,336.0,27.2,1795.0,1485.0,653.0,2174.0,2050.0,19.1,42.6,0.9294,896.375
2004-03-17 22:00:00,22.0,2.0,3.0,136.0,202.0,15.0,1444.0,1150.0,770.0,1727.0,1727.0,17.2,44.1,0.8558,899.2125
2004-03-17 23:00:00,23.0,2.0,3.0,127.0,178.0,15.7,1488.0,1171.0,731.0,1778.0,1705.0,16.0,50.9,0.9206,844.125
2004-03-18 00:00:00,0.0,3.0,3.0,116.0,154.0,13.0,1371.0,1083.0,796.0,1669.0,1551.0,14.8,53.9,0.9024,745.1375
2004-03-18 01:00:00,1.0,3.0,3.0,107.0,92.0,8.1,1161.0,904.0,947.0,1502.0,1240.0,14.3,55.4,0.8975,698.0625
